,company_name,dba_name,owner_first,owner_last,location,location_city,location_state,zip_code,mailing_address,mailing_city,mailing_state,mailing_zip,certification_type,capability,local,out_of_state,location_standard,lat,lng,geometry,in_philly_msa,match_probability,DR_ACCT,CR_ACCT,CURR_PRIOR_FLAG,POSTED_DATE,DEPT,SEC_FD,INDEX,PROGRAM_CD,MAJ_CLASS,CLASS,DOC_NUM,TRANS_DESC,DOC_REF_NUM,VEND_NAME,VEND_NUM,DOC_NUM4,DOC_REF4,TOTAL_AMT
10,Al Dia Newspaper,Al Dia News Media,Hern�n,Guaracao,"1835 MARKET STREETS, 4TH FLOOR",Philadelphia,PA,19103.0,"1835 MARKET STREETS, 4TH FLOOR",Philadelphia,PA,19103.0,MBE,"Newspaper publishers and printing combined ; Media representatives (i.e., independent of media owners) ; Language services (e.g., interpretation, sign, translation)  ; ",True,False,1835 MARKET ST,39.95370217581467,-75.17106331029913,POINT (-75.17106331029913 39.95370217581467),True,1.0,431.0,201.0,CURR,2018-08-16,1.0,10.0,10058.0,,2.0,0240,PVXX1900090901,*20181420* 00040428 6/13/18,,al dia newspaper,232773657 01,PVXX,,94458.62999999999
11,Alpha Professional Solutions Inc.,,Jacki,Branson,"4950 PARKSIDE AVENUE, SUITE 502",Philadelphia,PA,19131.0,"4950 PARKSIDE AVENUE, SUITE 502",Philadelphia,PA,19131.0,MBE,"Furniture Merchant Wholesalers; Office equipment merchant wholesalers; Janitorial equipment and supplies merchant wholesalers; Stationery and Office Supplies Merchant Wholesalers; All Other Professional, Scientific, and Technical Services; Document preparation services; All Other Business Support Services; Machines, office, merchant wholesalers; Electrical apparatus merchant wholesalers; Refrigeration Equipment and Supplies Merchant Wholesalers; Desk accessories, office, merchant wholesalers; Other Building Material Dealers",True,False,4950 PARKSIDE AVE,39.97971370213181,-75.21869674301045,POINT (-75.21869674301045 39.97971370213181),True,1.0,431.0,201.0,CURR,2019-05-16,73.0,10.0,730174.0,,4.0,0430,VCXX1908198601,*14217*                  SINGLE DESK APRIL 19,POXX1911625501,alpha professional solutions,821567053 01,VCXX,POXX,35063.4
12,"Always Moving, LLC",,Sharon,Cimadamore,3311-B Penrose Ferry Road,Philadelphia,PA,19145.0,3311-B Penrose Ferry Road,Philadelphia,PA,19145.0,WBE,"Furniture moving, used  ; Used household and office goods moving ; Other Support Activities for Transportation  ; Other Specialty Trade Contractors  ; Packing and Crating",True,False,3311B PENROSE FERRY RD,39.91063441253296,-75.18670888486916,POINT (-75.18670888486916 39.91063441253296),True,1.0,431.0,201.0,CURR,2019-06-03,73.0,10.0,730093.0,,2.0,0250,VCXX1908814501,*VM052119A*              MOVING VOTING MACH MAY 19,POXX1911949901,always moving,383763557 01,VCXX,POXX,384855.78
13,AMERICAN UNIFORM SALES INC.,,Philip,Endicott,"8348 STATE ROAD, UNIT 6",Philadelphia,PA,19136.0,"8348 STATE ROAD, UNIT 6",Philadelphia,PA,19136.0,MBE,"Uniforms, nontailored, made in apparel knitting mills ; Police academies ; Police caps and hats (except protective head gear), men's, cut and sew apparel contractors ; Embroidery products merchant wholesalers ; Polo shirts made in apparel knitting mills ; Uniforms, dress (e.g., fire fighter, military, police), men's, cut and sew apparel contractors ; Work shoes, men's (except rubber or plastics protective footwear), manufacturing ; ",True,False,8348 STATE RD,40.03534510662888,-75.01577384855146,POINT (-75.01577384855146 40.03534510662888),True,1.0,431.0,201.0,CURR,2019-02-08,1.0,10.0,10058.0,,3.0,0320,PVXX1900753901,*186085* COUNCIL BADGE FEB 2019,,american uniform sales,561122024 01,PVXX,,1081458.0600000008
14,"Arbill Industries, Inc.",,Julie,Copeland,10450 Drummond Road,Philadelphia,PA,19154.0,10450 Drummond Road,Philadelphia,PA,19154.0,WBE,"Clothing, water resistant, men's and boy's, cut sewn from purchased fabric; Biohazard protective clothing and accessories manufacturing; Industrial safety devices (e.g., eye shields, face shields, first-air kits) merchant wholesalers; Fire extinguishers merchant wholesalers; Clothing, men's and boy's, merchant wholesalers; Footwear merchant wholesalers; Environmental consulting services; ",True,False,10450 DRUMMOND RD,40.085689047971634,-74.99680118067938,POINT (-74.99680118067938 40.08568904797163),True,1.0,431.0,201.0,CURR,2019-03-14,11.0,10.0,111329.0,,3.0,0317,VCXX1906551601,*5265945*                EYEWASH 2/25/19,POXX1911522601,arbill industries,231516968 01,VCXX,POXX,28174.74
15,"Arora Engineers, Inc.",,Manik,Arora,"6920 Santa Teresa Blvd, Suite 208",San Jose,CA,95133.0,"6920 Santa Teresa Blvd, Suite 208",San Jose,CA,95133.0,MBE,"Construction management, commercial and institutional building ; Engineering Services ; Surveying and Mapping (except Geophysical) Services ; Computer Systems Design Services; Addition, alteration and renovation for-sale builders, commercial warehouse; Engineering design services; Geographic information system (GIS) base mapping services; Addition, alteration and renovation general contractors, commercial and institutional building; Engineering consulting services",False,True,,37.228313554010896,-121.779098954692,POINT (-121.779098954692 37.2283135540109),False,1.0,431.0,201.0,CURR,2019-05-29,4.0,10.0,40316.0,,2.0,0250,PVMD1901859803,#REQ201720789# WO10 OIT MSB APRIL2019,MDXX1900121701,arora engineers,232430920 01,PVMD,MDXX,54614.8
16,"Arora Systems Group, LLC",,Manik,Arora,"61 Wilmington-West Chester Pike, Suite 100",Chadds Ford,PA,19317.0,"61 Wilmington-West Chester Pike, Suite 100",Chadds Ford,PA,19317.0,MBE,"Electrical Contractors and Other Wiring Installation Contractors ; Plumbing and heating contractors; Facilities Support Services ; Alarm systems sales combined with installation, repair, or monitoring services; Security Systems Services (except Locksmiths);  ;   ;  ; ; ",False,False,,39.8423987142531,-75.5377048105227,POINT (-75.5377048105227 39.8423987142531),True,1.0,431.0,201.0,CURR,2018-08-27,12.0,10.0,120883.0,,2.0,0260,VCXX1901448101,"*7883*                   JUL18-SEPT18 MAINT.,MONIT",POXX1910015001,arora systems,300249773 01,VCXX,POXX,42201.020000000004
17,AthenianRazak LLC,,Jacqueline,Buhn,"1500 Walnut Street, Suite 2030",Philadelphia,PA,19102.0,"1500 Walnut Street, Suite 2030",Philadelphia,PA,19102.0,WBE,Apartment managers' offices ; Commercial property managing ; Other Activities Related to Real Estate ; New Multifamily Housing Construction (except For-Sale Builders); Commercial and Institutional Building Construction; Lessors of residential buildings and dwellings; Lessors of nonresidential buildings (except miniwarehouses); Lessors of Other Real Estate Property; Residential Property Managers; Nonresidential Property Managers; Building inspection services; Other Management Consulting Services; ,True,False,1500 WALNUT ST,39.94913378335728,-75.16635869840054,POINT (-75.16635869840054 39.94913378335728),True,1.0,433.0,201.0,PRIOR,2018-07-09,20.0,10.0,203869.0,,2.0,0257,PVMD1900025502,#REQ051620323#WO02FAB SPACE PROG. STUDY MAY18,MDXX1700143101,athenianrazak,233097717 02,PVMD,MDXX,3484.5
18,"Atlas Flasher & Supply Co., Inc.",,Karenanne,Brown,430 Swedesboro Avenue,Mickleton,NJ,8056.0,P.O. Box 488,Mickleton,NJ,8056.0,WBE,Fabricated Metal Product Manufacturing ; Rental and Leasing Services  ; ,False,True,,39.8112507818868,-75.2621196144229,POINT (-75.2621196144229 39.8112507818868),True,1.0,433.0,201.0,PRIOR,2018-07-10,10.0,10.0,100085.0,,3.0,0316,VCXX1900060101,*51268*                  JUNE2018,POXX1812013501,atlas flasher supply,223252636 01,VCXX,POXX,83713.91999999998
19,"ATS Services, Inc.",,Katrina,Williams,"400 West Manheim Street, 1st Floor",Philadelphia,PA,19141.0,"400 West Manheim Street, 1st Floor",Philadelphia,PA,19141.0,MWBE,NAICS-5617: Services to Buildings and Dwellings; ,True,False,400 MANHEIM ST,40.02334758074153,-75.17152161425908,POINT (-75.17152161425908 40.02334758074153),True,1.0,433.0,201.0,PRIOR,2018-07-10,73.0,10.0,730077.0,,2.0,0202,VCXX1900163401,*07102018*               CLEANING WHSE,POXX1810131801,ats,201192969 01,VCXX,POXX,895.83
20,AV INTERNATIONAL INC,,Andre V.,Duggin,"985 Old Eagle School Road, Suite 509",Wayne,PA,19087.0,"985 Old Eagle School Road, Suite 509",Wayne,PA,19087.0,MBE,"Agencies, Brokerages and Other Insurance Related Activities; Insurance Carriers and Related Activities; Administration of Human Resource Programs",False,False,,40.075838999813705,-75.405888000228,POINT (-75.405888000228 40.0758389998137),True,0.97,431.0,201.0,CURR,2019-05-02,35.0,10.0,354118.0,,2.0,0280,PVMD1901814501,*04042019* FIREBOAT INS 4/3/19-4/3/20 APR20,MDXX1900027001,a v international,232965822 01,PVMD,MDXX,742489.0
21,Avenues International Inc.,,Anupam,Gupta,4 Restrick Court,Princeton Junction,NJ,8550.0,4 Restrick Court,Princeton Junction,NJ,8550.0,MBE,"Computer software consulting services or consultants; Computer software analysis and design services, custom; Other Computer Related Services; Operating systems software, computer, packaged; Marketing consulting services; Applications software, computer, packaged; Customer service management consulting services; Applications development and publishing, except on a custom basis; Custom Computer Programming Services; Computer Systems Design Services",False,True,,40.276851612617996,-74.5819643787094,POINT (-74.5819643787094 40.276851612618),False,1.0,431.0,201.0,CURR,2019-06-10,1.0,10.0,10058.0,,3.0,0324,VCXX1908925001,*AVE1042*                CAMERA EQUIPMENT,POXX1911683301,avenues international,223318743 01,VCXX,POXX,8356.39
22,"BATTA ENVIRONMENTAL ASSOCIATES, INC.",,Naresh,Batta,DELAWARE INDUSTRIAL PARK - SIX GARFIELD WAY,Newark,DE,19713.0,DELAWARE INDUSTRIAL PARK - SIX GARFIELD WAY,Newark,DE,19713.0,MBE,"Professional, Scientific, and Technical Services ; Chemical engineering services  ; Environmental remediation services  ; Acoustical engineering consulting services; Building inspection bureaus; Acoustics testing laboratories or services; Ecological restoration consulting services; Base facilities operation support services; Hazardous Waste Collection; Asbestos abatement services",False,True,,39.673110000137,-75.7082649996208,POINT (-75.70826499962079 39.673110000137),True,0.876435528029536,433.0,201.0,PRIOR,2018-10-30,26.0,10.0,264788.0,,2.0,0250,PVMD1900653202,*041068* 2038 W BOSTON ST OCT18,MDXX1800026301,batta environmental assoc,510286008 01,PVMD,MDXX,62656.68
23,"Bell Remediation, LLC","Bell Environmental, LLC",Kevin,Felder,22 Glasgow Road,Williamstown,NJ,8094.0,22 Glasgow Road,Williamstown,NJ,8094.0,MBE,"Construction of Buildings ; Single-family house construction by general contractors ; Home improvement (e.g., adding on, remodeling, renovating), multifamily building, general contractors ; Commercial building construction ; House painting ; Building inspection services ; Environmental consulting services ; Facilities (except computer operation) support services ; Lead paint abatement services; Addition, alteration and renovation (i.e., construction), multifamily building; Addition, alteration and renovation for-sale builders, commercial and institutional building; Painting (except roof) contractors; Building inspection bureaus; Environmental Consulting Services; Base facilities operation support services; Environmental remediation services",False,True,,39.697581521370395,-75.012726833319,POINT (-75.01272683331899 39.6975815213704),True,1.0,431.0,201.0,CURR,2019-05-14,26.0,10.0,264788.0,,2.0,0250,PVMD1901897001,*1928* 700 N 43RD ST APR19,MDXX1900017901,bell environmental,760811815 01,PVMD,MDXX,44670.0
24,BRISTOL INDUSTRIAL CORPORATION,,Felicia,Enuha,1010 RIVER ROAD,New Castle,DE,19720.0,P.O. Box 12304,Wilmington,DE,19850.0,MWBE,"Construction of Buildings; Addition, alteration and renovation for-sale builders, commercial and institutional building; Construction equipment (except crane) rental with operator; Roofing materials, wood, merchant wholesalers; Fencing and fencing accessories, wire, merchant wholesalers; Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers; Appliances, household-type, gas and electric, merchant wholesalers; Handtools merchant wholesalers; General-line industrial supplies merchant wholesalers; Paint, Varnish, and Supplies Merchant Wholesalers; Other Building Material Dealers; Steam and Air-Conditioning Supply; Roofing, Siding, and Insulation Material Merchant Wholesalers; Fittings and valves, plumbers', merchant wholesalers; Pipe fittings and valves (except plumbing) merchant wholesalers; Sprinkler systems, fire, merchant wholesalers; Backhoe rental with operator; Cabinets, kitchen, built in, merchant wholesalers; Asphalt felts and coatings merchant wholesalers; Construction materials, electrical, merchant wholesalers; HVAC equipment merchant wholesalers",False,True,,39.646616802681706,-75.5972670475825,POINT (-75.59726704758251 39.64661680268171),True,0.847309368595314,433.0,201.0,PRIOR,2018-07-06,26.0,10.0,263013.0,,4.0,0403,VCXX1809182303,*12879*                  APPLIANCES JUN18,POXX1811961703,bristol industrial supply,900145105 01,VCXX,POXX,1948.0
25,"Burgos Group, LLC",,Mario,Burgos,"5200 Oakland Avenue NE, Suite B",Albuquerque,NM,87113.0,P.O. Box 10675,Albuquerque,NM,87184.0,MBE,"90104	Construction Mgmt Consultant; 25700	PROFESSIONAL SERVICES, ARCHITECTURAL & ENGINEERING; 90407	Facilities Support Services Management; 90301	Civil Engineer; ",False,True,,35.1859125045681,-106.58578050032699,POINT (-106.585780500327 35.1859125045681),False,0.8083085932135842,431.0,201.0,CURR,2018-10-30,22.0,10.0,222588.0,,2.0,0290,PVFP1906222601,"BURGOS, MAYLAS 10/01 3 OF 3",312734 C,mary burgos,192563080 01,PVFP,3127,580.15
26,CI-Solutions LLC,,Shawn,Gibbons,1905 Spruce Street,Philadelphia,PA,19103.0,PO Box 30170,Philadelphia,PA,19103.0,MBE,Project Management  ; Hotel furniture merchant wholesalers ; Office furniture merchant wholesalers  ; Public building furniture merchant wholesalers  ; Restaurant furniture merchant wholesalers  ; School furniture merchant wholesalers  ; Theater seats merchant wholesalers  ; ,True,False,1905 SPRUCE ST,39.94822511449785,-75.17299879391949,POINT (-75.17299879391949 39.94822511449785),True,1.0,433.0,201.0,PRIOR,2018-12-26,3.0,10.0,30002.0,,4.0,0420,VCXX1904526201,*123036*                 SOSA OFFICE CHAIRS,POXX1812361401,ci solutions,264535788 01,VCXX,POXX,1351.36
27,"Ciber Global, LLC",,Madhava,Reddy,3270 W. Big Beaver Rd,Troy,MI,48084.0,3270 W. Big Beaver Rd,Troy,MI,48084.0,MBE,"Custom Computer Programming Services; Software programming services, custom computer",False,True,,42.562827000208294,-83.193124499628,POINT (-83.193124499628 42.56282700020829),False,1.0,431.0,201.0,CURR,2018-10-10,4.0,10.0,40468.0,,2.0,0251,PVMD1900524701,*041003990* MANAGED SERVICES FEE 9/1-9/30/18 SEP18,MDXX1900073601,ciber global,821518220 02,PVMD,MDXX,1073983.6199999999
28,Cityspan Technologies Inc,,Mark,Min,"2054 UNIVERISTY AVE, 5TH FL",Berkeley,CA,94704.0,"2054 UNIVERISTY AVE, 5TH FL",Berkeley,CA,94704.0,MBE,"Applications software programming services, custom computer ; Computer software support services, custom ; Software programming services, custom computer",False,True,,37.8719480339455,-122.269467122126,POINT (-122.269467122126 37.8719480339455),False,1.0,431.0,201.0,CURR,2018-09-07,10.0,10.0,101640.0,,2.0,0250,PVMD1900361301,*673* SERVICE RENDERED AUG 2018,MDXX1900064101,cityspan technologies,943388396 01,PVMD,MDXX,80050.0
29,"CL Batts, LLC",One Atlantic valuations,C,Batts,"1800 JFK Blvd, Suite 300",Philadelphia,PA,19103.0,"1800 JFK Blvd, Suite 300",Philadelphia,PA,19103.0,MBE,"531320 Real estate appraisal services (More) ; 531320 Appraisal services, real estate (More); ; ",True,False,1800 JOHN F KENNEDY BLVD,39.9540102793147,-75.17027344617912,POINT (-75.17027344617912 39.9540102793147),True,1.0,433.0,201.0,PRIOR,2019-01-23,44.0,10.0,440537.0,,2.0,0250,PVMD1901160701,*2018187* MAR17 APPRAISALS & REVIEW,MDXX1800132801,one atlantic valuations,473103572 01,PVMD,MDXX,42650.0
30,Coelho Consulting Inc.,,Gregory,Coelho,1201 Culbertson Circle,West Chester,PA,19380.0,1201 Culbertson Circle,West Chester,PA,19380.0,MBE,5415	Computer Systems Design and Related Services,False,False,,40.0047119997972,-75.57810749982671,POINT (-75.57810749982671 40.0047119997972),True,1.0,433.0,201.0,PRIOR,2019-01-03,14.0,10.0,144733.0,,2.0,0250,PVMD1901008001,*GF8490062018*CONTRACT 1620099-03 JUN 2018,MDXX1800083701,coelho consulting,232968860 01,PVMD,MDXX,80660.0
31,"Collaborative Enterprises, Inc",,Anthony,Henderson,2939 Line Lexington Road,Hatfield,PA,19440.0,2939 Line Lexington Road,Hatfield,PA,19440.0,MBE,90904	COMPUTER INTEGRATED SYSTEMS DESIGNS (MBEC); 90101	Business Consultant; 90109	Management Consultant; ,False,False,,40.279492719911204,-75.2678709378923,POINT (-75.2678709378923 40.2794927199112),True,1.0,431.0,201.0,CURR,2019-06-06,20.0,10.0,209642.0,,2.0,0250,PVMD1902053701,*PMREVPP00001* MAY19 CONSULTING,MDXX1900087301,collaborative,233066128 01,PVMD,MDXX,28000.0
32,"Community Marketing Concepts, Inc.",,Linda,Chandler,"7300 City Avenue, Suite 330",Philadelphia,PA,19151.0,"7300 City Avenue, Suite 330",Philadelphia,PA,19151.0,MWBE,Graphic design services  ; Marketing consulting services  ; Public relations consulting services  ; ,True,False,7300 CITY AVE,39.9801749692911,-75.2676297218447,POINT (-75.2676297218447 39.9801749692911),True,1.0,433.0,201.0,PRIOR,2018-07-19,4.0,10.0,40454.0,,2.0,0250,PVMD1900097901,*0818* PROFESSIONAL SERVICES 12/7-3/18 MAR18,MPXX1800022501,community marketing concepts,232962330 01,PVMD,MPXX,28595.0
33,"Contract Cleaners Supply, Inc",,Herron,Duke,15 PORTLAND ROAD,West Conshohocken,PA,19428.0,15 PORTLAND ROAD,West Conshohocken,PA,19428.0,WBE,423840: Industrial Supplies Merchant Wholesalers; 423850: Janitorial equipment and supplies merchant wholesalers; 423850: Service establishment equipment and supplies merchant wholesalers; 424690: Other Chemical and Allied Products Merchant Wholesalers,False,False,,40.072314264713604,-75.3272072091322,POINT (-75.3272072091322 40.0723142647136),True,1.0,431.0,201.0,CURR,2018-10-15,52.0,10.0,520356.0,,3.0,0318,VCXX1902637401,*582544*                 TOILET TISSUE SEP 18,POXX1910447001,contract cleaners supply,231966448 01,VCXX,POXX,7783.74
34,"Copertino Earth Materials, LLC","Earth Materials, LLC",Donna,Copertino,1841 County House Road,Deptford,NJ,8096.0,1841 County House Road,Deptford,NJ,8096.0,WBE,"Fertilizer (Mixing Only) Manufacturing; Ground or Treated Mineral and Earth Manufacturing ; Brick, Stone and Related Construction Material Merchant Wholesalers; Building stone merchant wholesalers; Other Construction Material Merchant Wholesalers; Electrical Apparatus and Equipment, Wiring Supplies and Related Equipment Merchant Wholesalers; Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers; Other Miscellaneous Durable Goods Merchant Wholesalers; Farm supplies merchant wholesalers; Other Nonhazardous Waste Treatment and Disposal; Wholesale Trade Agents and Brokers",False,True,,39.8084174330301,-75.0976030147736,POINT (-75.0976030147736 39.8084174330301),True,1.0,431.0,201.0,CURR,2019-05-03,10.0,10.0,100085.0,,3.0,0305,VCXX1908018101,*534*                    APRIL2019,POXX1911589001,copertino earth materials,455065110 01,VCXX,POXX,1240.0
35,Corporate Facilities of New Jersey,,Amanda,Chevalier,6950 Sherman Avenue,Pennsauken,NJ,8110.0,6950 Sherman Avenue,Pennsauken,NJ,8110.0,MWBE,"Furniture stores (e.g., household, office, outdoor); Office furniture stores",False,True,,39.9725169704234,-75.05883253828969,POINT (-75.05883253828969 39.9725169704234),True,1.0,433.0,201.0,PRIOR,2018-09-04,14.0,10.0,141201.0,,4.0,0430,VCXX1901624801,*13775*                  SMALL ORDER P.O. AUG 2018,POXX1812323801,corporate facilities of new jersey,200634029 01,VCXX,POXX,3180.37
36,"Cosmic Catering, LLC",,Peg,Botto,8229 Germantown Avenue,Philadelphia,PA,19118.0,8229 Germantown Avenue,Philadelphia,PA,19118.0,MWBE,90801	Food Concession; 90800	Catering; ,True,False,8229 GERMANTOWN AVE,40.07425783066142,-75.2027327831385,POINT (-75.2027327831385 40.07425783066142),True,1.0,431.0,201.0,CURR,2019-01-30,14.0,10.0,140686.0,,2.0,0230,VCXX1905347301,*1426*                   CATERING SERVICE DEC 2018,POXX1911131401,cosmic catering,233038569 01,VCXX,POXX,1300.0
