fy,dept,department_title,char_,character_title,sub_obj,sub_obj_title,doc_ref_no_prefix,doc_ref_no_prefix_definition,total_transaction_amount
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,240,ADVERTISING/PROMOTIONAL ACTIVITIES 0240,PVXX,payment voucher,717665.72
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,PCXX,petty cash,1550
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,PVMD,professional services,366284.22
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,PVXX,payment voucher,12587.79
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGYPROF SERVICE 0251,PVMD,professional services,41
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,255,DUES 0255,PVXX,payment voucher,10800
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS 0256,PCXX,petty cash,580
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS 0256,PVXX,payment voucher,2995
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,258,COURT REPORTERS 0258,PVXX,payment voucher,11644.89
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,258,COURT REPORTERS 0258,VCXX,procurement,132254.39
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES 0260,VCXX,procurement,49677.96
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORTCOMPUTR HARDWARE/SOFT 0266,VCXX,procurement,9342
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,285,RENTS 0285,PCXX,petty cash,1504.25
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,285,RENTS 0285,PVMD,professional services,55223.26
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,285,RENTS 0285,PVXX,payment voucher,2414.2
2017,1,01 CITY COUNCIL,2,02 PURCHASE OF SERVICES,285,RENTS 0285,VCXX,procurement,97269.06
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,301,AGRICULTURAL AND BOTANICAL 0301,PVXX,payment voucher,475
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS 0304,PCXX,petty cash,1824.8
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS 0304,PVXX,payment voucher,70284.11
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS 0304,RPXX,reimbursable expense vouchers for City employees,420
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS 0304,VCXX,procurement,28800
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,305,BUILDING AND CONSTRUCTION 0305,PCXX,petty cash,6306.43
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,305,BUILDING AND CONSTRUCTION 0305,PVXX,payment voucher,625
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,305,BUILDING AND CONSTRUCTION 0305,VCXX,procurement,448.25
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,309,CORDAGE AND FIBERS 0309,PCXX,petty cash,2626.42
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,310,ELECTRICAL AND COMMUNICATION 0310,VCXX,procurement,3753
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,313,FOOD 0313,PCXX,petty cash,3368.04
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,313,FOOD 0313,PVXX,payment voucher,1498.79
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,313,FOOD 0313,RPXX,reimbursable expense vouchers for City employees,379.14
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,318,JANITORIAL LAUNDRY AND HOUSEHOLD 0318,PCXX,petty cash,19.94
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,318,JANITORIAL LAUNDRY AND HOUSEHOLD 0318,PVXX,payment voucher,1227.5
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,318,JANITORIAL LAUNDRY AND HOUSEHOLD 0318,VCXX,procurement,5884.16
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES 0320,PCXX,petty cash,3215.72
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES 0320,PVXX,payment voucher,880.8
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES 0320,VCXX,procurement,74109.54
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,325,PRINTING 0325,PVXX,payment voucher,7460
2017,1,01 CITY COUNCIL,3,03 MATERIALS AND SUPPLIES,325,PRINTING 0325,VCXX,procurement,108217.68
2017,1,01 CITY COUNCIL,4,04 EQUIPMENT,410,ELECTRICAL LIGHTING COMMUNICATION 0410,VCXX,procurement,6764.15
2017,1,01 CITY COUNCIL,4,04 EQUIPMENT,420,OFFICE EQUIPMENT 0420,VCXX,procurement,8989.71
2017,1,01 CITY COUNCIL,4,04 EQUIPMENT,423,PLUMBING/AIR CONDITIONING/SPACE HTG 0423,VCXX,procurement,18850
2017,1,01 CITY COUNCIL,4,04 EQUIPMENT,427,COMPUTER EQUIPMENT & PERIPHERALS 0427,PCXX,petty cash,1230.22
2017,1,01 CITY COUNCIL,4,04 EQUIPMENT,427,COMPUTER EQUIPMENT & PERIPHERALS 0427,VCXX,procurement,14558.42
2017,1,01 CITY COUNCIL,4,04 EQUIPMENT,430,FURNITURE AND FURNISHINGS 0430,VCXX,procurement,90371.37
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,205,REFUSE/GARBAGE/SILT/SLUDGE REMOVAL 0205,VCXX,procurement,2315.89
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,PVXX,payment voucher,5453
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,VCXX,procurement,18745.93
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,210,POSTAGE 0210,PCXX,petty cash,183.38
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,210,POSTAGE 0210,PVXX,payment voucher,10000
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,,,6402
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,PCXX,petty cash,1601.47
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,PVTR,American Express travel vouchers,48201
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,PVXX,payment voucher,1008
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,RPXX,reimbursable expense vouchers for City employees,5475.96
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,213,EMPLOYEE RELOCATION EXPENSES 0213,RPXX,reimbursable expense vouchers for City employees,7422.36
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,215,LICENSES PERMITS INSPECTION CHARGES 0215,PCXX,petty cash,113.5
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFFSHELF COMP SOFTWARE 0216,PCXX,petty cash,127.98
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFFSHELF COMP SOFTWARE 0216,PVXX,payment voucher,650
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFFSHELF COMP SOFTWARE 0216,VCXX,procurement,100420.58
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,220,ELECTRIC CURRENTSTRUCTURES/STREETS 0220,PVMD,professional services,4189.27
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,220,ELECTRIC CURRENTSTRUCTURES/STREETS 0220,VCXX,procurement,2085.41
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,221,GAS SERVICES 0221,VCXX,procurement,445.06
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,230,MEALSNONTRAVEL & OFFICL ENTERTAIN 0230,PCXX,petty cash,2073.94
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,230,MEALSNONTRAVEL & OFFICL ENTERTAIN 0230,PVXX,payment voucher,1802.94
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,230,MEALSNONTRAVEL & OFFICL ENTERTAIN 0230,RPXX,reimbursable expense vouchers for City employees,1838.41
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,240,ADVERTISING/PROMOTIONAL ACTIVITIES 0240,PCXX,petty cash,131.97
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,240,ADVERTISING/PROMOTIONAL ACTIVITIES 0240,PVXX,payment voucher,17065.3
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,,,8610562
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,PCXX,petty cash,660.32
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,PVMD,professional services,18913221.76
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,PVXX,payment voucher,4281.52
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,RPXX,reimbursable expense vouchers for City employees,217.97
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES 0250,VCXX,procurement,67875.01
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGYPROF SERVICE 0251,PVMD,professional services,171886.92
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGYPROF SERVICE 0251,RPXX,reimbursable expense vouchers for City employees,180.04
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,252,ACCOUNTING AND AUDITING SERVICES 0252,PVMD,professional services,202200
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,253,LEGAL SERVICES 0253,PVAT,court appointed attorneys,8789907.36
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,253,LEGAL SERVICES 0253,PVMD,professional services,46775048
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,253,LEGAL SERVICES 0253,PVXX,payment voucher,3825.5
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,255,DUES 0255,PCXX,petty cash,580.5
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,255,DUES 0255,PVXX,payment voucher,21832.16
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,255,DUES 0255,RPXX,reimbursable expense vouchers for City employees,1517
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS 0256,PCXX,petty cash,684.5
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS 0256,PVXX,payment voucher,14086
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS 0256,RPXX,reimbursable expense vouchers for City employees,44955.91
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES 0260,VCXX,procurement,257380.59
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORTCOMPUTR HARDWARE/SOFT 0266,VCXX,procurement,493.25
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,277,WITNESS FEES 0277,PVXX,payment voucher,2190.56
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,280,INSURANCE AND OFFICIAL BONDS        0280,,,1200025
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,280,INSURANCE AND OFFICIAL BONDS 0280,PCXX,petty cash,105
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,280,INSURANCE AND OFFICIAL BONDS 0280,PVXX,payment voucher,1222
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,285,RENTS 0285,PVMD,professional services,340642.87
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,285,RENTS 0285,PVXX,payment voucher,7759.2
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,285,RENTS 0285,VCXX,procurement,483036.94
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,290,PAYMENTS FOR CARE OF INDIVIDUALS 0290,PVFG,foster grandparents,286578.85
2017,10,10 MANAGING DIRECTOR,2,02 PURCHASE OF SERVICES,299,OTHER EXPENSES NOT OTHRWSE CLSSFD 0299,VCXX,procurement,8615.66
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,301,AGRICULTURAL AND BOTANICAL 0301,PCXX,petty cash,359
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,301,AGRICULTURAL AND BOTANICAL 0301,VCXX,procurement,3242.88
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS 0304,PCXX,petty cash,704.35
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS 0304,PVXX,payment voucher,1255.88
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS 0304,VCXX,procurement,560
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,305,BUILDING AND CONSTRUCTION 0305,VCXX,procurement,122707.22
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,306,LIBRARY MATERIALS 0306,PVXX,payment voucher,31750
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,307,CHEMICALS AND GASES 0307,VCXX,procurement,7306.26
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,308,DRY GOODS/NOTIONS/WEARING APPAREL 0308,PCXX,petty cash,443
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,308,DRY GOODS/NOTIONS/WEARING APPAREL 0308,VCXX,procurement,369328.24
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,310,ELECTRICAL AND COMMUNICATION 0310,PCXX,petty cash,39.98
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,310,ELECTRICAL AND COMMUNICATION 0310,VCXX,procurement,8569096.53
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,311,GENERAL EQUIPMENT AND MACHINERY 0311,PCXX,petty cash,756.63
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,311,GENERAL EQUIPMENT AND MACHINERY 0311,VCXX,procurement,33678.38
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,312,FIRE FIGHTING AND SAFETY 0312,VCXX,procurement,90967.03
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,313,FOOD 0313,PCXX,petty cash,422.92
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,313,FOOD 0313,PVXX,payment voucher,358
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,313,FOOD 0313,RPXX,reimbursable expense vouchers for City employees,806.77
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,313,FOOD 0313,VCXX,procurement,15900.29
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,316,GENERAL HARDWARE AND MINOR TOOLS 0316,PCXX,petty cash,3363.04
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,316,GENERAL HARDWARE AND MINOR TOOLS 0316,VCXX,procurement,17817.97
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,317,HOSPITAL AND LABORATORY 0317,VCXX,procurement,128786.68
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,318,JANITORIAL LAUNDRY AND HOUSEHOLD 0318,VCXX,procurement,89083.6
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES 0320,PCXX,petty cash,7191.62
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES 0320,RPXX,reimbursable expense vouchers for City employees,126.85
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES 0320,VCXX,procurement,57406.75
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,322,SMALL POWER TOOLS AND HAND TOOLS 0322,VCXX,procurement,45243.98
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,324,PRECISION PHOTOGRAPHIC AND ARTISTS 0324,PVXX,payment voucher,273.09
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,324,PRECISION PHOTOGRAPHIC AND ARTISTS 0324,VCXX,procurement,2938.39
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,325,PRINTING 0325,PCXX,petty cash,326
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,325,PRINTING 0325,VCXX,procurement,7053.5
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,326,RECREATIONAL AND EDUCATIONAL 0326,PCXX,petty cash,74.4
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,326,RECREATIONAL AND EDUCATIONAL 0326,VCXX,procurement,35484.46
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,328,MOTOR VEHICLE PARTS AND ACCESSORIES 0328,VCXX,procurement,19796.79
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,335,LUBRICANTS 0335,VCXX,procurement,417.9
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,342,LIQUID PROPANE GAS LPG 0342,VCXX,procurement,144.78
2017,10,10 MANAGING DIRECTOR,3,03 MATERIALS AND SUPPLIES,399,OTHER MATERIALS AND SUPPLIES NOC 0399,VCXX,procurement,3957.74
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,401,AGRICULTURAL AND BOTANICAL 0401,VCXX,procurement,50832.31
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,405,CONSTRUCTION DREDGING CONVEYING 0405,VCXX,procurement,1112.9
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,410,ELECTRICAL LIGHTING COMMUNICATION 0410,VCXX,procurement,5514037.1
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,411,GENERAL EQUIPMENT AND MACHINERY 0411,VCXX,procurement,30888.24
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,412,FIRE FIGHTING AND EMERGENCY 0412,VCXX,procurement,31458
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,417,HOSPITAL AND LABORATORY 0417,VCXX,procurement,53985
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,420,OFFICE EQUIPMENT 0420,PCXX,petty cash,299.97
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,420,OFFICE EQUIPMENT 0420,VCXX,procurement,9583
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,424,PRECISION PHOTOGRAPHIC AND ARTIST 0424,VCXX,procurement,304199.22
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,426,RECREATIONAL AND EDUCATIONAL 0426,VCXX,procurement,215998
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,427,COMPUTER EQUIPMENT & PERIPHERALS 0427,VCXX,procurement,19035.79
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,428,VEHICLES  MOTOR AND MOTORLESS 0428,VCXX,procurement,1039230.32
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,430,FURNITURE AND FURNISHINGS 0430,PCXX,petty cash,454.96
2017,10,10 MANAGING DIRECTOR,4,04 EQUIPMENT,430,FURNITURE AND FURNISHINGS 0430,VCXX,procurement,18248.05
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,0602P,PROF SRVSITE DRAINAGE & PREP 0602P,PVMD,professional services,5932.5
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,0603P,PROF SRV  LANDSCAPING 0603P,PVMD,professional services,364285.53
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,0608P,PROF SRVMAJOR IMPREXISTING SITES 0608P,PVMD,professional services,45451.8
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,0617P,PROF SRVELECT CONTROL EQUIP/WIRING0617P,PVMD,professional services,193647.67
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,0639P,PROF SRVOTHER STRUCTURES NOT BLDG 0639P,PVMD,professional services,450077
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,0695P,PROF SRVCOMPUTER EQUIPMENT 0695P,PVMD,professional services,74155.97
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,0696P,PROF SRVMETERS & CONTROL DEVICES 0696P,PVMD,professional services,21789.1
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,610,INTERIORGEN BUILDING CONSTRUCTION 0610,VCXX,procurement,27380.62
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,617,ELECTRICAL CONTROL EQUIPMENT/WIRING 0617,VCXX,procurement,65641.03
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,630,EXTERIORGEN BUILDING CONSTRUCTION 0630,VCXX,procurement,34302.93
2017,10,10 MANAGING DIRECTOR,6,06 REAL PROPERTY,695,COMPUTER EQUIPMENT 0695,VCXX,procurement,21999.99
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,201,CLEANING AND LAUNDERING 0201,PCXX,petty cash,378.07
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,205,REFUSE/GARBAGE/SILT/SLUDGE REMOVAL 0205,PCXX,petty cash,989.38
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,205,REFUSE/GARBAGE/SILT/SLUDGE REMOVAL 0205,VCXX,procurement,62359.6
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,PCXX,petty cash,3106.46
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,PVXX,payment voucher,785.15
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,209,TELEPHONE 0209,VCXX,procurement,2596.1
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,210,POSTAGE 0210,PVXX,payment voucher,100000
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,210,POSTAGE 0210,VCXX,procurement,1813.12
2017,11,11 POLICE,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION 0211,PCXX,petty cash,3970.67
